"123" "231" "312"
"1" -10 -10 -10
"2" -10 -10 -8.57142857142857
"3" -10 -10 -7.14285714285714
"4" -10 -10 -5.71428571428571
"5" -10 -10 -4.28571428571429
"6" -10 -10 -2.85714285714286
"7" -10 -10 -1.42857142857143
"8" -10 -10 0
"9" -10 -10 1.42857142857143
"10" -10 -10 2.85714285714286
"11" -10 -10 4.28571428571429
"12" -10 -10 5.71428571428572
"13" -10 -10 7.14285714285714
"14" -10 -10 8.57142857142857
"15" -10 -10 10
"16" -10 -8.57142857142857 -10
"17" -10 -8.57142857142857 -8.57142857142857
"18" -10 -8.57142857142857 -7.14285714285714
"19" -10 -8.57142857142857 -5.71428571428571
"20" -10 -8.57142857142857 -4.28571428571429
"21" -10 -8.57142857142857 -2.85714285714286
"22" -10 -8.57142857142857 -1.42857142857143
"23" -10 -8.57142857142857 0
"24" -10 -8.57142857142857 1.42857142857143
"25" -10 -8.57142857142857 2.85714285714286
"26" -10 -8.57142857142857 4.28571428571429
"27" -10 -8.57142857142857 5.71428571428572
"28" -10 -8.57142857142857 7.14285714285714
"29" -10 -8.57142857142857 8.57142857142857
"30" -10 -8.57142857142857 10
"31" -10 -7.14285714285714 -10
"32" -10 -7.14285714285714 -8.57142857142857
"33" -10 -7.14285714285714 -7.14285714285714
"34" -10 -7.14285714285714 -5.71428571428571
"35" -10 -7.14285714285714 -4.28571428571429
"36" -10 -7.14285714285714 -2.85714285714286
"37" -10 -7.14285714285714 -1.42857142857143
"38" -10 -7.14285714285714 0
"39" -10 -7.14285714285714 1.42857142857143
"40" -10 -7.14285714285714 2.85714285714286
"41" -10 -7.14285714285714 4.28571428571429
"42" -10 -7.14285714285714 5.71428571428572
"43" -10 -7.14285714285714 7.14285714285714
"44" -10 -7.14285714285714 8.57142857142857
"45" -10 -7.14285714285714 10
"46" -10 -5.71428571428571 -10
"47" -10 -5.71428571428571 -8.57142857142857
"48" -10 -5.71428571428571 -7.14285714285714
"49" -10 -5.71428571428571 -5.71428571428571
"50" -10 -5.71428571428571 -4.28571428571429
"51" -10 -5.71428571428571 -2.85714285714286
"52" -10 -5.71428571428571 -1.42857142857143
"53" -10 -5.71428571428571 0
"54" -10 -5.71428571428571 1.42857142857143
"55" -10 -5.71428571428571 2.85714285714286
"56" -10 -5.71428571428571 4.28571428571429
"57" -10 -5.71428571428571 5.71428571428572
"58" -10 -5.71428571428571 7.14285714285714
"59" -10 -5.71428571428571 8.57142857142857
"60" -10 -5.71428571428571 10
"61" -10 -4.28571428571429 -10
"62" -10 -4.28571428571429 -8.57142857142857
"63" -10 -4.28571428571429 -7.14285714285714
"64" -10 -4.28571428571429 -5.71428571428571
"65" -10 -4.28571428571429 -4.28571428571429
"66" -10 -4.28571428571429 -2.85714285714286
"67" -10 -4.28571428571429 -1.42857142857143
"68" -10 -4.28571428571429 0
"69" -10 -4.28571428571429 1.42857142857143
"70" -10 -4.28571428571429 2.85714285714286
"71" -10 -4.28571428571429 4.28571428571429
"72" -10 -4.28571428571429 5.71428571428572
"73" -10 -4.28571428571429 7.14285714285714
"74" -10 -4.28571428571429 8.57142857142857
"75" -10 -4.28571428571429 10
"76" -10 -2.85714285714286 -10
"77" -10 -2.85714285714286 -8.57142857142857
"78" -10 -2.85714285714286 -7.14285714285714
"79" -10 -2.85714285714286 -5.71428571428571
"80" -10 -2.85714285714286 -4.28571428571429
"81" -10 -2.85714285714286 -2.85714285714286
"82" -10 -2.85714285714286 -1.42857142857143
"83" -10 -2.85714285714286 0
"84" -10 -2.85714285714286 1.42857142857143
"85" -10 -2.85714285714286 2.85714285714286
"86" -10 -2.85714285714286 4.28571428571429
"87" -10 -2.85714285714286 5.71428571428572
"88" -10 -2.85714285714286 7.14285714285714
"89" -10 -2.85714285714286 8.57142857142857
"90" -10 -2.85714285714286 10
"91" -10 -1.42857142857143 -10
"92" -10 -1.42857142857143 -8.57142857142857
"93" -10 -1.42857142857143 -7.14285714285714
"94" -10 -1.42857142857143 -5.71428571428571
"95" -10 -1.42857142857143 -4.28571428571429
"96" -10 -1.42857142857143 -2.85714285714286
"97" -10 -1.42857142857143 -1.42857142857143
"98" -10 -1.42857142857143 0
"99" -10 -1.42857142857143 1.42857142857143
"100" -10 -1.42857142857143 2.85714285714286
"101" -10 -1.42857142857143 4.28571428571429
"102" -10 -1.42857142857143 5.71428571428572
"103" -10 -1.42857142857143 7.14285714285714
"104" -10 -1.42857142857143 8.57142857142857
"105" -10 -1.42857142857143 10
"106" -10 0 -10
"107" -10 0 -8.57142857142857
"108" -10 0 -7.14285714285714
"109" -10 0 -5.71428571428571
"110" -10 0 -4.28571428571429
"111" -10 0 -2.85714285714286
"112" -10 0 -1.42857142857143
"113" -10 0 0
"114" -10 0 1.42857142857143
"115" -10 0 2.85714285714286
"116" -10 0 4.28571428571429
"117" -10 0 5.71428571428572
"118" -10 0 7.14285714285714
"119" -10 0 8.57142857142857
"120" -10 0 10
"121" -10 1.42857142857143 -10
"122" -10 1.42857142857143 -8.57142857142857
"123" -10 1.42857142857143 -7.14285714285714
"124" -10 1.42857142857143 -5.71428571428571
"125" -10 1.42857142857143 -4.28571428571429
"126" -10 1.42857142857143 -2.85714285714286
"127" -10 1.42857142857143 -1.42857142857143
"128" -10 1.42857142857143 0
"129" -10 1.42857142857143 1.42857142857143
"130" -10 1.42857142857143 2.85714285714286
"131" -10 1.42857142857143 4.28571428571429
"132" -10 1.42857142857143 5.71428571428572
"133" -10 1.42857142857143 7.14285714285714
"134" -10 1.42857142857143 8.57142857142857
"135" -10 1.42857142857143 10
"136" -10 2.85714285714286 -10
"137" -10 2.85714285714286 -8.57142857142857
"138" -10 2.85714285714286 -7.14285714285714
"139" -10 2.85714285714286 -5.71428571428571
"140" -10 2.85714285714286 -4.28571428571429
"141" -10 2.85714285714286 -2.85714285714286
"142" -10 2.85714285714286 -1.42857142857143
"143" -10 2.85714285714286 0
"144" -10 2.85714285714286 1.42857142857143
"145" -10 2.85714285714286 2.85714285714286
"146" -10 2.85714285714286 4.28571428571429
"147" -10 2.85714285714286 5.71428571428572
"148" -10 2.85714285714286 7.14285714285714
"149" -10 2.85714285714286 8.57142857142857
"150" -10 2.85714285714286 10
"151" -10 4.28571428571429 -10
"152" -10 4.28571428571429 -8.57142857142857
"153" -10 4.28571428571429 -7.14285714285714
"154" -10 4.28571428571429 -5.71428571428571
"155" -10 4.28571428571429 -4.28571428571429
"156" -10 4.28571428571429 -2.85714285714286
"157" -10 4.28571428571429 -1.42857142857143
"158" -10 4.28571428571429 0
"159" -10 4.28571428571429 1.42857142857143
"160" -10 4.28571428571429 2.85714285714286
"161" -10 4.28571428571429 4.28571428571429
"162" -10 4.28571428571429 5.71428571428572
"163" -10 4.28571428571429 7.14285714285714
"164" -10 4.28571428571429 8.57142857142857
"165" -10 4.28571428571429 10
"166" -10 5.71428571428572 -10
"167" -10 5.71428571428572 -8.57142857142857
"168" -10 5.71428571428572 -7.14285714285714
"169" -10 5.71428571428572 -5.71428571428571
"170" -10 5.71428571428572 -4.28571428571429
"171" -10 5.71428571428572 -2.85714285714286
"172" -10 5.71428571428572 -1.42857142857143
"173" -10 5.71428571428572 0
"174" -10 5.71428571428572 1.42857142857143
"175" -10 5.71428571428572 2.85714285714286
"176" -10 5.71428571428572 4.28571428571429
"177" -10 5.71428571428572 5.71428571428572
"178" -10 5.71428571428572 7.14285714285714
"179" -10 5.71428571428572 8.57142857142857
"180" -10 5.71428571428572 10
"181" -10 7.14285714285714 -10
"182" -10 7.14285714285714 -8.57142857142857
"183" -10 7.14285714285714 -7.14285714285714
"184" -10 7.14285714285714 -5.71428571428571
"185" -10 7.14285714285714 -4.28571428571429
"186" -10 7.14285714285714 -2.85714285714286
"187" -10 7.14285714285714 -1.42857142857143
"188" -10 7.14285714285714 0
"189" -10 7.14285714285714 1.42857142857143
"190" -10 7.14285714285714 2.85714285714286
"191" -10 7.14285714285714 4.28571428571429
"192" -10 7.14285714285714 5.71428571428572
"193" -10 7.14285714285714 7.14285714285714
"194" -10 7.14285714285714 8.57142857142857
"195" -10 7.14285714285714 10
"196" -10 8.57142857142857 -10
"197" -10 8.57142857142857 -8.57142857142857
"198" -10 8.57142857142857 -7.14285714285714
"199" -10 8.57142857142857 -5.71428571428571
"200" -10 8.57142857142857 -4.28571428571429
"201" -10 8.57142857142857 -2.85714285714286
"202" -10 8.57142857142857 -1.42857142857143
"203" -10 8.57142857142857 0
"204" -10 8.57142857142857 1.42857142857143
"205" -10 8.57142857142857 2.85714285714286
"206" -10 8.57142857142857 4.28571428571429
"207" -10 8.57142857142857 5.71428571428572
"208" -10 8.57142857142857 7.14285714285714
"209" -10 8.57142857142857 8.57142857142857
"210" -10 8.57142857142857 10
"211" -10 10 -10
"212" -10 10 -8.57142857142857
"213" -10 10 -7.14285714285714
"214" -10 10 -5.71428571428571
"215" -10 10 -4.28571428571429
"216" -10 10 -2.85714285714286
"217" -10 10 -1.42857142857143
"218" -10 10 0
"219" -10 10 1.42857142857143
"220" -10 10 2.85714285714286
"221" -10 10 4.28571428571429
"222" -10 10 5.71428571428572
"223" -10 10 7.14285714285714
"224" -10 10 8.57142857142857
"225" -10 10 10
"226" -8.57142857142857 -10 -10
