1,1,3,12,8
2,1,14,77,87
3,1,6,303,288
4,1,0,768,207
5,1,0,246,309
6,1,0,286,145
7,1,0,354,190
1,2,6,11,9
2,2,7,97,122
3,2,5,167,288
4,2,0,558,191
5,2,0,485,185
6,2,0,555,164
7,2,0,448,103
1,3,5,5,9
2,3,18,43,59
3,3,10,204,86
4,3,1,480,160
5,3,0,462,243
6,3,0,793,735
7,3,0,547,134
